"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C41H44O14","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3824,-0.3902,1.07,0.34,6,20,0.1463
"C40H60O16","[M-H]-","aliphatic","aliphatic",0.0938,-0.7,1.5,0.4,-5,11,-0.125
"C41H64O15","[M-H]-","aliphatic","aliphatic",0.0746,-0.8293,1.56,0.37,-5,10,-0.122
"C42H68O14","[M-H]-","aliphatic","aliphatic",0.0571,-0.9524,1.62,0.33,-5,9,-0.119
"C43H72O13","[M-H]-","aliphatic","aliphatic",0.0411,-1.0698,1.67,0.3,-5,8,-0.1163
"C40H42O15","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3846,-0.3,1.05,0.38,5,20,0.125
"C40H62O16","[M-H]-","aliphatic","aliphatic",0.0625,-0.75,1.55,0.4,-6,10,-0.15
"C41H66O15","[M-H]-","aliphatic","aliphatic",0.0448,-0.878,1.61,0.37,-6,9,-0.1463
"C42H70O14","[M-H]-","aliphatic","aliphatic",0.0286,-1,1.67,0.33,-6,8,-0.1429
"C40H44O15","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3538,-0.35,1.1,0.38,4,19,0.1
"C42H56O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2174,-0.619,1.33,0.36,0,15,0
"C43H60O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1944,-0.7442,1.4,0.33,0,14,0
"C40H64O16","[M-H]-","aliphatic","aliphatic",0.0312,-0.8,1.6,0.4,-7,9,-0.175
"C41H68O15","[M-H]-","aliphatic","aliphatic",0.0149,-0.9268,1.66,0.37,-7,8,-0.1707
"C42H72O14","[M-H]-","aliphatic","aliphatic",0,-1.0476,1.71,0.33,-7,7,-0.1667
"C40H46O15","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3231,-0.4,1.15,0.38,3,18,0.075
"C40H62O14","[M+Cl]-","aliphatic","aliphatic",0.0909,-0.85,1.55,0.35,-4,10,-0.1
"C41H66O13","[M+Cl]-","aliphatic","aliphatic",0.0725,-0.9756,1.61,0.32,-4,9,-0.0976
"C44H66O13","[M-H]-","aliphatic","aliphatic",0.1467,-0.9091,1.5,0.3,-1,12,-0.0227
"C39H44O16","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3226,-0.3077,1.13,0.41,2,18,0.0513
"C40H48O15","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2923,-0.45,1.2,0.38,2,17,0.05
