"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C28H50O3","[M-H]-","aliphatic","aliphatic",0.0943,-1.5714,1.79,0.11,1,4,0.0357
"C26H54O2","[M+Cl]-","aliphatic","lipid",-0.04,-1.9231,2.08,0.08,-2,0,-0.0769
"C23H45O4N1","[M+Cl]-","aliphatic","aliphatic+N",-0.05,-1.4783,1.96,0.17,-3,2,-0.1304
"C24H49O3N1","[M+Cl]-","aliphatic","lipid",-0.0698,-1.6667,2.04,0.12,-3,1,-0.125
"C23H28O6","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.35,-0.6957,1.22,0.26,4,10,0.1739
"C20H32O8","[M+Cl]-","aliphatic","aliphatic",0.0625,-0.8,1.6,0.4,-3,5,-0.15
"C24H32O5","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3023,-0.9167,1.33,0.21,4,9,0.1667
"C23H32O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2105,-0.6957,1.39,0.35,0,8,0
"C21H36O7","[M+Cl]-","aliphatic","aliphatic",0.0286,-1.0476,1.71,0.33,-3,4,-0.1429
"C24H36O7","[M-H]-","aliphatic","aliphatic",0.1707,-0.9167,1.5,0.29,0,7,0
"C22H40O6","[M+Cl]-","aliphatic","aliphatic",0,-1.2727,1.82,0.27,-3,3,-0.1364
"C25H40O6","[M-H]-","aliphatic","aliphatic",0.1364,-1.12,1.6,0.24,0,6,0
"C22H44O6S1","[M-H]-","aliphatic","lipid",-0.1667,-1.3636,2,0.27,-6,1,-0.2727
"C22H45O6P1","[M-H]-","aliphatic","lipid",-0.1667,-1.5,2.05,0.27,-6,1,-0.2727
"C23H44O5","[M+Cl]-","aliphatic","aliphatic",-0.0244,-1.4783,1.91,0.22,-3,2,-0.1304
"C22H44O8","[M-H]-","aliphatic","lipid",-0.1667,-1.2727,2,0.36,-7,1,-0.3182
"C26H44O5","[M-H]-","aliphatic","aliphatic",0.1064,-1.3077,1.69,0.19,0,5,0
"C24H48O4","[M+Cl]-","aliphatic","lipid",-0.0455,-1.6667,2,0.17,-3,1,-0.125
"C27H48O4","[M-H]-","aliphatic","aliphatic",0.08,-1.4815,1.78,0.15,0,4,0
"C25H52O3","[M+Cl]-","aliphatic","lipid",-0.0638,-1.84,2.08,0.12,-3,0,-0.12
"C28H52O3","[M-H]-","aliphatic","aliphatic",0.0566,-1.6429,1.86,0.11,0,3,0
"C29H56O2","[M-H]-","aliphatic","aliphatic",0.0357,-1.7931,1.93,0.07,0,2,0
"C22H43O5N1","[M+Cl]-","aliphatic","aliphatic+N",-0.0811,-1.3636,1.95,0.23,-4,2,-0.1818
"C23H30O6","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3,-0.7826,1.3,0.26,3,9,0.1304
"C20H34O8","[M+Cl]-","aliphatic","aliphatic",0,-0.9,1.7,0.4,-4,4,-0.2
"C24H34O5","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2558,-1,1.42,0.21,3,8,0.125
"C23H34O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1579,-0.7826,1.48,0.35,-1,7,-0.0435
"C21H38O7","[M+Cl]-","aliphatic","aliphatic",-0.0286,-1.1429,1.81,0.33,-4,3,-0.1905
"C24H38O7","[M-H]-","aliphatic","aliphatic",0.122,-1,1.58,0.29,-1,6,-0.0417
"C22H42O6","[M+Cl]-","aliphatic","aliphatic",-0.0526,-1.3636,1.91,0.27,-4,2,-0.1818
"C25H42O6","[M-H]-","aliphatic","aliphatic",0.0909,-1.2,1.68,0.24,-1,5,-0.04
"C23H46O5","[M+Cl]-","aliphatic","lipid",-0.0732,-1.5652,2,0.22,-4,1,-0.1739
"C22H46O8","[M-H]-","aliphatic","lipid",-0.2222,-1.3636,2.09,0.36,-8,0,-0.3636
"C27H46O2","[M+Cl]-","aliphatic","aliphatic",0.1538,-1.5556,1.7,0.07,3,5,0.1111
"C26H46O5","[M-H]-","aliphatic","aliphatic",0.0638,-1.3846,1.77,0.19,-1,4,-0.0385
"C24H50O4","[M+Cl]-","aliphatic","lipid",-0.0909,-1.75,2.08,0.17,-4,0,-0.1667
"C27H50O4","[M-H]-","aliphatic","aliphatic",0.04,-1.5556,1.85,0.15,-1,3,-0.037
"C28H54O3","[M-H]-","aliphatic","aliphatic",0.0189,-1.7143,1.93,0.11,-1,2,-0.0357
"C29H58O2","[M-H]-","aliphatic","lipid",0,-1.8621,2,0.07,-1,1,-0.0345
"C21H41O6N1","[M+Cl]-","aliphatic","aliphatic+N",-0.1176,-1.2381,1.95,0.29,-5,2,-0.2381
"C27H53O3N1","[M-H]-","aliphatic","aliphatic+N",-0.0204,-1.6296,1.96,0.11,-2,2,-0.0741
"C22H28O7","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2973,-0.6364,1.27,0.32,2,9,0.0909
"C23H32O6","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.25,-0.8696,1.39,0.26,2,8,0.087
"C20H36O8","[M+Cl]-","aliphatic","aliphatic",-0.0625,-1,1.8,0.4,-5,3,-0.25
"C24H36O5","[M+Cl]-","aliphatic","aliphatic",0.2093,-1.0833,1.5,0.21,2,7,0.0833
"C23H36O8","[M-H]-","aliphatic","aliphatic",0.1053,-0.8696,1.57,0.35,-2,6,-0.087
"C21H40O7","[M+Cl]-","aliphatic","aliphatic",-0.0857,-1.2381,1.9,0.33,-5,2,-0.2381
"C25H40O4","[M+Cl]-","aliphatic","aliphatic",0.1739,-1.28,1.6,0.16,2,6,0.08
"C24H40O7","[M-H]-","aliphatic","aliphatic",0.0732,-1.0833,1.67,0.29,-2,5,-0.0833
"C22H44O6","[M+Cl]-","aliphatic","lipid",-0.1053,-1.4545,2,0.27,-5,1,-0.2273
"C28H40O4","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2692,-1.1429,1.43,0.14,5,9,0.1786
"C26H44O3","[M+Cl]-","aliphatic","aliphatic",0.1429,-1.4615,1.69,0.12,2,5,0.0769
