Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
957.7403704,0,0,0,0,0,0,0,0,,,958.7476469,0,-1
957.7631054,0,0,0,0,0,0,0,0,,,958.7703819,0,-1
957.7766906,59,106,9,0,0,0,0,0,CHO,[M-H]-,958.7839671,-0.294200607,-1
957.7994811,0,0,0,0,0,0,0,0,,,958.8067576,0,-1
957.8125242,60,110,8,0,0,0,0,0,CHO,[M-H]-,958.8198007,0.281413716,-1
957.8495047,61,114,7,0,0,0,0,0,CHO,[M-H]-,958.8567812,-0.33912812,-1
958.2179883,0,0,0,0,0,0,0,0,,,959.2252648,0,-1
958.6866174,0,0,0,0,0,0,0,0,,,959.6938938,0,-1
958.7067409,0,0,0,0,0,0,0,0,,,959.7140173,0,-1
958.7391836,0,0,0,0,0,0,0,0,,,959.7464601,0,-1
958.7756141,0,0,0,0,0,0,0,0,,,959.7828906,0,-1
958.8027747,0,0,0,0,0,0,0,0,,,959.8100512,0,-1
958.8121507,0,0,0,0,0,0,0,0,,,959.8194272,0,-1
959.5748873,0,0,0,0,0,0,0,0,,,960.5821638,0,-1
959.616931,0,0,0,0,0,0,0,0,,,960.6242075,0,-1
959.626017,0,0,0,0,0,0,0,0,,,960.6332935,0,-1
959.6630051,0,0,0,0,0,0,0,0,,,960.6702815,0,-1
959.6985752,0,0,0,0,0,0,0,0,,,960.7058516,0,-1
959.7114751,58,100,8,0,0,0,0,0,CHO,[M+Cl]-,924.7420738,-0.27422113,-1
959.7194936,57,100,11,0,0,0,0,0,CHO,[M-H]-,960.72677,-0.214395792,-1
959.742533,0,0,0,0,0,0,0,0,,,960.7498094,0,-1
959.7558896,58,104,10,0,0,0,0,0,CHO,[M-H]-,960.763166,-0.225316877,-1
959.7787351,0,0,0,0,0,0,0,0,,,960.7860115,0,-1
959.7919792,59,108,9,0,0,0,0,0,CHO,[M-H]-,960.7992556,0.082664008,-1
959.820571,61,112,5,0,0,0,0,0,CHO,[M+Cl]-,924.8511697,-0.208665946,-1
959.8642261,0,0,0,0,0,0,0,0,,,960.8715026,0,-1
960.7022118,0,0,0,0,0,0,0,0,,,961.7094883,0,-1
960.7182829,0,0,0,0,0,0,0,0,,,961.7255594,0,-1
960.7552362,0,0,0,0,0,0,0,0,,,961.7625126,0,-1
960.7871983,58,107,9,1,0,0,0,0,CHON,[M-H]-,961.7944747,0.113655082,-1
960.7953528,58,108,9,0,1,0,0,0,CHO,[M-H]-,961.8026292,0.063085724,-1
960.8238458,60,112,5,0,1,0,0,0,CHO,[M+Cl]-,925.8544445,-0.121976503,-1
960.86039,60,115,7,1,0,0,0,0,CHON,[M-H]-,961.8676664,-0.323732857,-1
960.8970953,0,0,0,0,0,0,0,0,,,961.9043717,0,-1
961.5690674,0,0,0,0,0,0,0,0,,,962.5763439,0,-1
961.6332924,0,0,0,0,0,0,0,0,,,962.6405689,0,-1
961.6418554,0,0,0,0,0,0,0,0,,,962.6491319,0,-1
961.6779637,0,0,0,0,0,0,0,0,,,962.6852402,0,-1
961.6989054,0,0,0,0,0,0,0,0,,,962.7061819,0,-1
961.7204062,0,0,0,0,0,0,0,0,,,962.7276827,0,-1
961.7217204,0,0,0,0,0,0,0,0,,,962.7289969,0,-1
961.7352528,57,102,11,0,0,0,0,0,CHO,[M-H]-,962.7425293,-0.327383135,-1
961.7568347,0,0,0,0,0,0,0,0,,,962.7641112,0,-1
961.7720804,0,0,0,0,0,0,0,0,,,962.7793569,0,-1
961.8080374,59,110,9,0,0,0,0,0,CHO,[M-H]-,962.8153139,-0.341484737,-1
961.8176637,0,0,0,0,0,0,0,0,,,962.8249401,0,-1
961.827545,0,0,0,0,0,0,0,0,,,962.8348214,0,-1
961.844393,60,114,8,0,0,0,0,0,CHO,[M-H]-,962.8516694,-0.310314947,-1
961.8808405,0,0,0,0,0,0,0,0,,,962.8881169,0,-1
961.9173261,0,0,0,0,0,0,0,0,,,962.9246025,0,-1
962.8211551,0,0,0,0,0,0,0,0,,,963.8284316,0,-1
962.8478811,59,114,8,0,1,0,0,0,CHO,[M-H]-,963.8551576,-0.448344424,-1
962.876062,60,117,7,1,0,0,0,0,CHON,[M-H]-,963.8833384,-0.345791681,-1
962.9125062,0,0,0,0,0,0,0,0,,,963.9197826,0,-1
962.9204877,0,0,0,0,0,0,0,0,,,963.9277641,0,-1
963.4081629,0,0,0,0,0,0,0,0,,,964.4154393,0,-1
963.5841048,0,0,0,0,0,0,0,0,,,964.5913813,0,-1
963.6571693,0,0,0,0,0,0,0,0,,,964.6644458,0,-1
963.6936822,0,0,0,0,0,0,0,0,,,964.7009587,0,-1
963.7302595,0,0,0,0,0,0,0,0,,,964.737536,0,-1
963.750908,57,104,11,0,0,0,0,0,CHO,[M-H]-,964.7581845,-0.332004463,-1
963.7663673,0,0,0,0,0,0,0,0,,,964.7736438,0,-1
963.7873848,0,0,0,0,0,0,0,0,,,964.7946613,0,-1
963.8025582,62,108,7,0,0,0,0,0,CHO,[M-H]-,964.8098347,-0.340869181,-1
